Country Name,Country Code,Lifeexpectancy,Agriculturaland,Children_out_of_school_primary ,Fertility_rate,GDP,GDP_per_capita,High-technology_exports,Household_final_consumption,Individuals_using_the_Internet,Labor_force,Population
Ukraine,UKR,71.1895122,412748,,1.506,91030959455,2124.662666,1386828856,60294259019,48.88464368,20929694,45154029
United Arab Emirates,ARE,77.4842439,3823,16022,1.765,357949199755,39101.74689,834367361,204447438121,90.5,6414745,9154302
United Kingdom,GBR,81.60487805,171380,,1.81,2885570309161,44305.55463,69417266219,1892125207284,92.0003,33408062,65128861
United States,USA,78.74146341,4058625,1372090,1.843,18120714000000,56469.00897,154345554351,12332257000000,74.55420245,160767760,320896618
Upper middle income,UMC,75.11854968,20586721.2,,1.827551594,20772440074304,8112.01528,,10179411536645,52.56886269,1330273346,2560411826
Uruguay,URY,77.13163415,144496,,2.007,53274304215,15524.84247,266119238,35603930275,64.6,1751452,3431552
Uzbekistan,UZB,71.14568293,267700,67898,2.491,66903804143,2137.576852,,35592823804,42.8,14721576,31298900
Vanuatu,VUT,71.98490244,1870,5104,3.312,742432131,2805.83414,,,22.35140458,118551,264603
Venezuela. RB,VEN,74.3915122,216000,264665,2.341,,,,,61.86924809,14381186,31155134
Vietnam,VNM,75.89119512,117100,,1.958,193241108710,2065.169099,38735943417,131329929035,43.5,55367635,91713300
Virgin Islands (U.S.),VIR,79.87317073,40,,1.74,3765000000,34954.97168,,2586000000,54.8391373,50437,103574
West Bank and Gaza,PSE,73.30168293,2980,36969,4.075,12673000000,2865.805109,5099724,11805100000,57.42419241,1201996,4422143
World,WLD,71.88880421,48626474.4,,2.452645557,74760284140128,10161.62664,,42957437940625,43.19845629,3371099761,7355220412
Yemen. Rep.,YEM,64.72568293,235460,,4.104,37733919936,1401.903319,2946931,36720862036,24.08540947,6009627,26916207
Zambia,ZMB,61.33958537,238360,,5.041,21154394546,1313.889646,36503179,10714005560,21,6590858,16100587
Zimbabwe,ZWE,60.27934146,162000,,3.836,16304667807,1033.415842,10072513,14211595773,22.7428181,7686883,15777451
