wage,income,age,educ,public,tenure,experience,subordinates,otherjob,internet,trust,urban,region,sex
10000.0,10000,46,2.0,1.0,7.0,22.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
3900.0,3900,55,5.0,1.0,1.0,32.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
4200.0,4200,38,4.0,1.0,10.0,20.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
6090.0,6600,55,2.0,0.0,1.0,36.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
17000.0,20000,29,5.0,1.0,8.0,8.0,1,0,0,1,1,Волго-Вятский и Поволжский экономический район,female
12000.0,12000,27,5.0,1.0,5.0,5.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
6000.0,6000,20,0.0,1.0,6.0,6.0,0,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
15000.0,15000,42,0.0,0.0,6.0,22.0,1,0,0,0,1,Восточный и Дальне-Восточный экономический район,female
15000.0,15000,50,4.0,0.0,6.0,34.0,1,0,0,1,1,Восточный и Дальне-Восточный экономический район,male
5000.0,5000,33,0.0,1.0,5.0,16.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
5000.0,5000,54,0.0,0.0,2.0,25.0,1,0,0,1,1,Волго-Вятский и Поволжский экономический район,female
5000.0,15000,21,2.0,0.0,2.0,3.0,0,1,0,0,1,Волго-Вятский и Поволжский экономический район,male
8000.0,8000,27,0.0,0.0,2.0,2.0,0,1,0,0,1,Восточный и Дальне-Восточный экономический район,male
6000.0,6000,54,1.0,0.0,1.0,35.0,0,1,0,1,1,Волго-Вятский и Поволжский экономический район,male
2400.0,2400,54,4.0,0.0,1.0,26.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
5360.0,5360,33,4.0,1.0,3.0,17.0,0,1,0,0,1,Волго-Вятский и Поволжский экономический район,female
20000.0,20000,30,3.0,0.0,1.0,8.0,0,1,0,0,1,Волго-Вятский и Поволжский экономический район,male
6000.0,6000,33,5.0,0.0,3.0,15.0,1,1,0,0,1,Восточный и Дальне-Восточный экономический район,female
6000.0,6000,44,4.0,0.0,20.0,25.0,1,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
5000.0,5000,21,4.0,0.0,0.0,0.0,1,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
7000.0,7000,47,3.0,1.0,1.0,26.0,0,1,0,0,1,Волго-Вятский и Поволжский экономический район,female
6000.0,8450,42,0.0,0.0,3.0,27.0,0,1,0,0,1,Волго-Вятский и Поволжский экономический район,female
3000.0,3000,21,0.0,0.0,3.0,2.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
7500.0,7500,26,3.0,0.0,3.0,7.0,0,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
5000.0,5000,28,3.0,0.0,1.0,1.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
8000.0,8000,23,0.0,0.0,0.0,0.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
15000.0,19500,44,0.0,0.0,0.0,27.0,0,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
12000.0,12000,34,1.0,0.0,3.0,13.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
15000.0,15000,34,5.0,1.0,2.0,5.0,0,0,1,0,1,Волго-Вятский и Поволжский экономический район,female
5600.0,5600,48,1.0,1.0,17.0,31.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
6000.0,6000,23,5.0,1.0,1.0,1.0,0,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
10000.0,10000,46,4.0,0.0,0.0,13.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
15000.0,15000,23,0.0,0.0,7.0,7.0,0,0,0,0,1,Восточный и Дальне-Восточный экономический район,male
8000.0,8000,36,2.0,0.0,3.0,20.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
2500.0,2500,30,1.0,1.0,1.0,8.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
7500.0,9000,45,0.0,1.0,23.0,23.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
3500.0,3500,52,5.0,1.0,1.0,35.0,0,1,0,0,1,Волго-Вятский и Поволжский экономический район,male
6980.0,10000,53,3.0,0.0,0.0,17.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
500.0,8000,43,4.0,0.0,2.0,18.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
2700.0,3300,23,2.0,0.0,0.0,7.0,0,1,1,0,1,Волго-Вятский и Поволжский экономический район,female
7000.0,9240,27,0.0,0.0,4.0,10.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
10000.0,10000,29,0.0,0.0,4.0,10.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
10000.0,10000,28,0.0,1.0,4.0,8.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
10000.0,10000,34,5.0,0.0,1.0,12.0,0,1,0,0,1,Волго-Вятский и Поволжский экономический район,male
9000.0,9000,42,4.0,0.0,4.0,19.0,0,0,0,0,1,Восточный и Дальне-Восточный экономический район,male
6000.0,6000,44,1.0,0.0,1.0,3.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
8600.0,8600,25,5.0,1.0,2.0,3.0,1,1,1,0,1,Волго-Вятский и Поволжский экономический район,male
8600.0,8600,22,4.0,0.0,1.0,2.0,0,1,1,0,1,Волго-Вятский и Поволжский экономический район,female
16000.0,16000,43,5.0,1.0,6.0,24.0,1,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
5000.0,14600,53,5.0,0.0,7.0,31.0,0,1,0,0,1,Волго-Вятский и Поволжский экономический район,female
700.0,700,30,5.0,0.0,8.0,7.0,0,1,0,0,1,Волго-Вятский и Поволжский экономический район,female
18000.0,23000,30,5.0,0.0,6.0,8.0,1,0,1,0,1,Восточный и Дальне-Восточный экономический район,male
5000.0,8200,26,0.0,0.0,0.0,0.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
5500.0,5500,58,0.0,0.0,2.0,39.0,0,1,0,0,1,Волго-Вятский и Поволжский экономический район,male
5000.0,5000,22,4.0,0.0,0.0,0.0,0,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
16000.0,16000,55,0.0,1.0,32.0,30.0,1,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
10000.0,10000,36,0.0,0.0,11.0,16.0,0,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
1400.0,1400,45,0.0,1.0,0.0,26.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
3500.0,3580,25,0.0,1.0,6.0,6.0,1,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
3000.0,3000,24,5.0,0.0,1.0,5.0,0,1,0,0,1,Волго-Вятский и Поволжский экономический район,female
15000.0,15000,56,5.0,1.0,2.0,33.0,1,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
15000.0,15000,38,4.0,0.0,7.0,13.0,1,0,0,0,1,Волго-Вятский и Поволжский экономический район,male
4000.0,4000,38,4.0,1.0,13.0,15.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
7500.0,7500,27,0.0,0.0,0.0,8.0,0,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
8500.0,8500,24,0.0,0.0,0.0,5.0,0,1,1,0,1,Волго-Вятский и Поволжский экономический район,female
8000.0,8000,56,4.0,0.0,0.0,28.0,1,1,0,0,1,Волго-Вятский и Поволжский экономический район,male
15000.0,15000,34,5.0,1.0,19.0,14.0,0,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
9000.0,9000,27,5.0,1.0,3.0,3.0,0,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
10000.0,10000,24,5.0,0.0,2.0,2.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
9000.0,9000,35,4.0,0.0,11.0,11.0,0,0,1,0,1,Волго-Вятский и Поволжский экономический район,male
4000.0,4000,33,4.0,1.0,5.0,8.0,0,0,0,0,1,Волго-Вятский и Поволжский экономический район,female
